sp_id,sp_hh_id,serialno,stcotrbg,age,sex,race,sporder,relate,sp_school_id,sp_work_id
119504204,1587856,2007000024459,"010010208024",9,2,1,2,2,450086996,
119504205,1576287,2007000024459,"010010204002",40,2,1,1,0,,500110754
119504206,1576287,2007000024459,"010010204002",7,2,1,3,2,450079463,
119504207,1576287,2007000024459,"010010204002",9,2,1,2,2,450079463,
119504216,1586155,2007000024459,"010010208022",9,2,1,2,2,450079463,
119504225,1574951,2007000024459,"010010203001",9,2,1,2,2,450087284,
119504233,1575720,2007000024459,"010010204001",7,2,1,3,2,450087279,
119504234,1575720,2007000024459,"010010204001",9,2,1,2,2,450087279,
119504235,1585952,2007000024459,"010010208022",40,2,1,1,0,,500131601
119504236,1585952,2007000024459,"010010208022",7,2,1,3,2,450087284,
119504242,1587502,2007000024459,"010010208024",7,2,1,3,2,450086996,
119504247,1576355,2007000024459,"010010204002",40,2,1,1,0,,500130091
119504251,1587971,2007000024459,"010010208024",7,2,1,3,2,450079463,
119504252,1587971,2007000024459,"010010208024",9,2,1,2,2,450079463,
119504404,1589677,2007000024671,"010010209003",26,2,1,3,10,,
119504405,1589677,2007000024671,"010010209003",1,1,1,2,2,,
119504406,1589677,2007000024671,"010010209003",26,1,1,1,0,,500143325
119504415,1589539,2007000024671,"010010209003",26,1,1,1,0,,500145048
119504416,1592461,2007000024671,"010010211002",26,2,1,3,10,,
119504417,1592461,2007000024671,"010010211002",1,1,1,2,2,,
119504424,1587332,2007000024671,"010010208023",26,1,1,1,0,,500145600
119506835,1572974,2007000029607,"010010201002",21,1,9,3,2,,500140680
119506855,1578728,2007000029607,"010010205002",21,1,9,3,2,,500142302
119506857,1578728,2007000029607,"010010205002",17,1,9,4,2,450079463,
119506863,1579232,2007000029607,"010010205002",21,1,9,3,2,,500143393
119506864,1579232,2007000029607,"010010205002",47,1,9,1,0,,500143229
119506865,1579232,2007000029607,"010010205002",17,1,9,4,2,450087280,
119506871,1575731,2007000029607,"010010204002",21,1,9,3,2,,500140264
119506872,1575731,2007000029607,"010010204002",47,1,9,1,0,,500109799
119506873,1575731,2007000029607,"010010204002",17,1,9,4,2,450087280,
119506874,1575731,2007000029607,"010010204002",46,2,1,2,1,,500134239
119509095,1584278,2007000033176,"010010208012",62,1,1,2,1,,500144749
119509096,1584278,2007000033176,"010010208012",56,2,1,1,0,,500141214
119509097,1585526,2007000033176,"010010208021",62,1,1,2,1,,500143368
119509098,1585526,2007000033176,"010010208021",56,2,1,1,0,,500146012
119509101,1583721,2007000033176,"010010208011",62,1,1,2,1,,500131443
119509102,1583721,2007000033176,"010010208011",56,2,1,1,0,,500145043
119509108,1575744,2007000033176,"010010204002",56,2,1,1,0,,500145013
119509811,1579503,2007000034094,"010010205002",30,2,1,1,0,,
119509819,1582697,2007000034094,"010010207001",30,2,1,1,0,,
119509827,1584841,2007000034094,"010010208021",30,2,1,1,0,,
119509844,1590078,2007000034094,"010010209004",45,1,1,2,1,,500109816
119510815,1580193,2007000036198,"010010205002",16,1,2,3,2,450087280,
119510819,1583710,2007000036198,"010010208011",16,1,2,3,2,450087280,
119510820,1583710,2007000036198,"010010208011",54,1,2,2,1,,500145787
119510823,1579058,2007000036198,"010010205002",16,1,2,3,2,450087280,
119510824,1579058,2007000036198,"010010205002",54,1,2,2,1,,500145934
119510825,1579058,2007000036198,"010010205002",41,2,1,1,0,,500144114
119510827,1587767,2007000036198,"010010208024",16,1,2,3,2,450086996,
119510828,1587767,2007000036198,"010010208024",54,1,2,2,1,,500130597
119510834,1586463,2007000036198,"010010208022",12,2,2,4,2,450087282,
119510837,1586463,2007000036198,"010010208022",41,2,1,1,0,,500135442
119510839,1587455,2007000036198,"010010208023",16,1,2,3,2,450087280,
119510844,1588273,2007000036198,"010010208024",54,1,2,2,1,,500139792
119510845,1588273,2007000036198,"010010208024",41,2,1,1,0,,500145079
119510851,1587622,2007000036198,"010010208024",16,1,2,3,2,450087280,
119510852,1587622,2007000036198,"010010208024",54,1,2,2,1,,500134999
119510855,1573052,2007000036198,"010010201002",16,1,2,3,2,450087280,
119510856,1573052,2007000036198,"010010201002",54,1,2,2,1,,500140307
119510857,1573052,2007000036198,"010010201002",41,2,1,1,0,,500143516
119510889,1585499,2007000036199,"010010208021",11,2,1,3,5,450087282,
119510892,1575688,2007000036199,"010010204001",11,2,1,3,5,450087281,
119510893,1575688,2007000036199,"010010204001",70,1,1,1,0,,
119510916,1582674,2007000036199,"010010207001",11,2,1,3,5,450087279,
119510917,1582674,2007000036199,"010010207001",70,1,1,1,0,,
119510918,1582674,2007000036199,"010010207001",15,2,1,2,5,450087280,
119510919,1584833,2007000036199,"010010208021",11,2,1,3,5,450086996,
119511720,1592544,2007000037144,"010010211002",39,2,2,2,1,,500148573
119515875,1591730,2007000043993,"010010211001",57,1,2,3,2,,
119515909,1573615,2007000043993,"010010202001",84,2,2,1,0,,
119515928,1573566,2007000043993,"010010202001",62,1,2,2,2,,
119515929,1573566,2007000043993,"010010202001",57,1,2,3,2,,
119517786,1588436,2007000046274,"010010208024",62,1,1,1,0,,
119517789,1586875,2007000046274,"010010208022",60,2,1,2,1,,500141938
119517790,1586875,2007000046274,"010010208022",62,1,1,1,0,,
119517804,1582600,2007000046274,"010010207001",62,1,1,1,0,,
119517817,1579885,2007000046274,"010010205002",60,2,1,2,1,,500143445
119517819,1589181,2007000046274,"010010209002",60,2,1,2,1,,500135268
119517820,1589181,2007000046274,"010010209002",62,1,1,1,0,,
119517825,1590884,2007000046274,"010010210002",60,2,1,2,1,,500147160
119517826,1590884,2007000046274,"010010210002",62,1,1,1,0,,
119517828,1591126,2007000046274,"010010210002",62,1,1,1,0,,
119517837,1587372,2007000046274,"010010208023",60,2,1,2,1,,500143952
119517841,1589683,2007000046274,"010010209003",60,2,1,2,1,,500145473
119517849,1578949,2007000046274,"010010205002",60,2,1,2,1,,500109798
119517952,1582457,2007000046585,"010010206002",51,1,1,1,0,,500134069
119517953,1582457,2007000046585,"010010206002",16,1,1,4,2,450087280,500144671
119517954,1582457,2007000046585,"010010206002",17,2,1,3,2,450087280,500145063
119517955,1582457,2007000046585,"010010206002",44,2,1,2,1,,500144337
119517956,1582457,2007000046585,"010010206002",6,2,1,5,2,450087283,
119517972,1584858,2007000046585,"010010208021",51,1,1,1,0,,500112647
119517973,1584858,2007000046585,"010010208021",16,1,1,4,2,450087280,500143765
119517974,1584858,2007000046585,"010010208021",17,2,1,3,2,450087280,500130876
119517975,1584858,2007000046585,"010010208021",44,2,1,2,1,,500133956
119517976,1584858,2007000046585,"010010208021",6,2,1,5,2,450086996,
119517988,1581004,2007000046585,"010010205003",16,1,1,4,2,450087280,500140627
119517990,1581004,2007000046585,"010010205003",44,2,1,2,1,,500141223
119517991,1581004,2007000046585,"010010205003",6,2,1,5,2,450087283,
119517996,1575221,2007000046585,"010010203002",6,2,1,5,2,450087283,
119517997,1582414,2007000046585,"010010206002",51,1,1,1,0,,500130853
119518012,1581632,2007000046585,"010010206001",51,1,1,1,0,,500143765
119518014,1581632,2007000046585,"010010206001",17,2,1,3,2,450087280,504881730
119518019,1588083,2007000046585,"010010208024",17,2,1,3,2,450087280,500111662
119518021,1588083,2007000046585,"010010208024",6,2,1,5,2,450086996,
119518027,1587942,2007000046585,"010010208024",51,1,1,1,0,,500134782
119518028,1587942,2007000046585,"010010208024",16,1,1,4,2,450087280,500144975
119518032,1589242,2007000046625,"010010209002",71,2,2,2,1,,
119518033,1589242,2007000046625,"010010209002",84,1,2,1,0,,
119518034,1592163,2007000046625,"010010211001",71,2,2,2,1,,
119518035,1592163,2007000046625,"010010211001",84,1,2,1,0,,
119520897,1581765,2007000050150,"010010206001",58,2,1,1,0,,
119520899,1588587,2007000050150,"010010209001",58,2,1,1,0,,
119520906,1582838,2007000050150,"010010207001",58,2,1,1,0,,
119520913,1575361,2007000050150,"010010203002",58,2,1,1,0,,
119520916,1575286,2007000050150,"010010203002",58,2,1,1,0,,
119526340,1591414,2007000061051,"010010210002",40,1,1,1,0,,500147176
119526343,1591414,2007000061051,"010010210002",11,2,1,4,2,450077319,
119526350,1581252,2007000061051,"010010206001",14,1,1,3,2,450087280,
119526358,1589194,2007000061051,"010010209002",14,1,1,3,2,450084530,
119526366,1588785,2007000061051,"010010209001",14,1,1,3,2,450084530,
119526372,1576011,2007000061051,"010010204002",40,1,1,1,0,,500141940
119526373,1576011,2007000061051,"010010204002",46,2,1,2,1,,
119526380,1574046,2007000061051,"010010202002",40,1,1,1,0,,500144358
119526384,1587346,2007000061051,"010010208023",40,1,1,1,0,,500145941
119526386,1587346,2007000061051,"010010208023",14,1,1,3,2,450087280,
119526387,1587346,2007000061051,"010010208023",11,2,1,4,2,450086996,
119526388,1592226,2007000061051,"010010211001",40,1,1,1,0,,500143436
119526389,1592226,2007000061051,"010010211001",46,2,1,2,1,,
119526390,1592226,2007000061051,"010010211001",14,1,1,3,2,450076845,
119526397,1580928,2007000061051,"010010205003",46,2,1,2,1,,
119526405,1590205,2007000061051,"010010209004",46,2,1,2,1,,
119526407,1590205,2007000061051,"010010209004",11,2,1,4,2,450086996,
119526408,1577529,2007000061051,"010010205001",40,1,1,1,0,,500136861
119526409,1577529,2007000061051,"010010205001",46,2,1,2,1,,
119527389,1582701,2007000061955,"010010207001",81,1,2,1,0,,500142508
119527972,1586226,2007000062958,"010010208022",61,2,1,1,0,,500142471
119528080,1580788,2007000063644,"010010205003",49,2,1,2,1,,500139169
119528082,1580788,2007000063644,"010010205003",21,2,1,3,2,,500146054
119528087,1583339,2007000063644,"010010207002",50,1,1,1,0,,500139531
119528089,1575745,2007000063644,"010010204002",49,2,1,2,1,,500144723
119528090,1575745,2007000063644,"010010204002",50,1,1,1,0,,500144124
119528091,1575745,2007000063644,"010010204002",21,2,1,3,2,,500143324
119528092,1591952,2007000063644,"010010211001",49,2,1,2,1,,500111237
119528101,1584401,2007000063644,"010010208012",49,2,1,2,1,,500139392
119528102,1584401,2007000063644,"010010208012",50,1,1,1,0,,500145478
119528103,1584401,2007000063644,"010010208012",21,2,1,3,2,,500133602
119528106,1580670,2007000063644,"010010205003",21,2,1,3,2,,500139884
119528108,1583864,2007000063644,"010010208011",50,1,1,1,0,,500143272
119528109,1583864,2007000063644,"010010208011",21,2,1,3,2,,500145079
119528114,1581445,2007000063644,"010010206001",50,1,1,1,0,,500141483
119528648,1582111,2007000064258,"010010206002",46,1,2,1,0,,
119528896,1587102,2007000065234,"010010208023",60,2,1,2,1,,
119528899,1592895,2007000065234,"010010211003",70,1,1,1,0,,500137857
119528903,1574320,2007000065234,"010010203001",70,1,1,1,0,,500145079
119528904,1574320,2007000065234,"010010203001",60,2,1,2,1,,
119528911,1573153,2007000065234,"010010201002",70,1,1,1,0,,500136879
119528912,1573153,2007000065234,"010010201002",60,2,1,2,1,,
119528929,1586602,2007000065234,"010010208022",70,1,1,1,0,,500140806
119528930,1586602,2007000065234,"010010208022",60,2,1,2,1,,
119528932,1579826,2007000065234,"010010205002",60,2,1,2,1,,
119528944,1574678,2007000065234,"010010203001",60,2,1,2,1,,
119528947,1581052,2007000065234,"010010205003",70,1,1,1,0,,500139531
119528949,1580579,2007000065234,"010010205003",70,1,1,1,0,,500138438
119528950,1580579,2007000065234,"010010205003",60,2,1,2,1,,
119528959,1587675,2007000065234,"010010208024",70,1,1,1,0,,500130881
119528960,1587675,2007000065234,"010010208024",60,2,1,2,1,,
119530002,1574880,2007000066899,"010010203001",11,2,1,3,2,450087282,
119530003,1574880,2007000066899,"010010203001",34,1,1,2,1,,500143028
119530004,1574880,2007000066899,"010010203001",32,2,1,1,0,,500142352
119530005,1574880,2007000066899,"010010203001",5,2,1,6,11,450087283,
119530007,1574880,2007000066899,"010010203001",12,2,1,5,3,450087282,
119530014,1583616,2007000066899,"010010207002",11,2,1,3,2,450087281,
119530015,1583616,2007000066899,"010010207002",34,1,1,2,1,,500144258
119530017,1583616,2007000066899,"010010207002",5,2,1,6,11,450087283,
119530021,1580673,2007000066899,"010010205003",34,1,1,2,1,,500139139
119530022,1580673,2007000066899,"010010205003",32,2,1,1,0,,500135914
119530025,1580673,2007000066899,"010010205003",12,2,1,5,3,450079463,
119530026,1582242,2007000066899,"010010206002",11,2,1,3,2,450087281,
119530027,1582242,2007000066899,"010010206002",34,1,1,2,1,,500145079
119530028,1582242,2007000066899,"010010206002",32,2,1,1,0,,500144937
119530030,1582242,2007000066899,"010010206002",7,2,1,4,2,450087279,
119530039,1581377,2007000066899,"010010206001",34,1,1,2,1,,500139828
119530041,1581377,2007000066899,"010010206001",5,2,1,6,11,450087283,
119531489,1577564,2007000068726,"010010205001",79,2,1,1,0,,
119531490,1580594,2007000068726,"010010205003",79,2,1,1,0,,
119531502,1578517,2007000068726,"010010205002",79,2,1,1,0,,
119532472,1589880,2007000070495,"010010209003",84,2,1,1,0,,
119532478,1588945,2007000070495,"010010209002",84,2,1,1,0,,
119532481,1578545,2007000070495,"010010205002",84,2,1,1,0,,
119532483,1576951,2007000070495,"010010204004",84,2,1,1,0,,
119534011,1580252,2007000072960,"010010205002",24,1,1,2,2,,
119534013,1580252,2007000072960,"010010205002",48,2,1,1,0,,500145079
119534014,1575626,2007000072960,"010010204001",24,1,1,2,2,,
119534015,1575626,2007000072960,"010010204001",21,2,1,3,7,,500139169
119534016,1575626,2007000072960,"010010204001",48,2,1,1,0,,500143804
119534028,1584716,2007000072960,"010010208012",48,2,1,1,0,,500145076
119534029,1577433,2007000072960,"010010205001",24,1,1,2,2,,
119534030,1577433,2007000072960,"010010205001",21,2,1,3,7,,500146989
119534301,1583779,2007000073811,"010010208011",44,1,1,1,0,,500143313
119534302,1583779,2007000073811,"010010208011",15,1,1,4,2,450087280,
119534305,1584487,2007000073811,"010010208012",11,2,1,5,2,450055504,
119534308,1584487,2007000073811,"010010208012",21,2,1,3,2,,500137562
119534325,1572893,2007000073811,"010010201001",11,2,1,5,2,450055504,
119534360,1582846,2007000073811,"010010207001",11,2,1,5,2,450055504,
119534362,1582846,2007000073811,"010010207001",15,1,1,4,2,450087280,
119534363,1582846,2007000073811,"010010207001",21,2,1,3,2,,500145972
119534370,1573553,2007000073811,"010010202001",11,2,1,5,2,450065180,
119534371,1573553,2007000073811,"010010202001",44,1,1,1,0,,500144883
119534374,1573553,2007000073811,"010010202001",44,2,1,2,1,,500143353
119534376,1585901,2007000073811,"010010208022",44,1,1,1,0,,500132915
119534379,1585901,2007000073811,"010010208022",44,2,1,2,1,,500109802
119534390,1589317,2007000073811,"010010209002",11,2,1,5,2,450065180,
119534396,1586062,2007000073811,"010010208022",44,1,1,1,0,,500144814
119534397,1586062,2007000073811,"010010208022",15,1,1,4,2,450087280,
119534398,1586062,2007000073811,"010010208022",21,2,1,3,2,,500137333
119534399,1586062,2007000073811,"010010208022",44,2,1,2,1,,500143268
119534417,1583781,2007000073811,"010010208011",15,1,1,4,2,450087280,
119534418,1583781,2007000073811,"010010208011",21,2,1,3,2,,500144120
119534425,1578990,2007000073811,"010010205002",11,2,1,5,2,450065180,
119534426,1578990,2007000073811,"010010205002",44,1,1,1,0,,500135521
119534428,1578990,2007000073811,"010010205002",21,2,1,3,2,,500135914
119534759,1575176,2007000074186,"010010203002",38,2,2,1,0,,
119534769,1572687,2007000074186,"010010201001",18,2,2,2,2,450087280,
119534770,1572687,2007000074186,"010010201001",14,1,2,3,2,450087282,
119534775,1573663,2007000074186,"010010202001",18,2,2,2,2,450087280,
119534776,1573663,2007000074186,"010010202001",14,1,2,3,2,450087282,
119534791,1573504,2007000074186,"010010202001",14,1,2,3,2,450087282,
119534792,1573504,2007000074186,"010010202001",38,2,2,1,0,,
119535022,1573086,2007000075214,"010010201002",55,2,2,1,0,,500111865
119535805,1589202,2007000077003,"010010209002",43,2,1,1,0,,
119535815,1582704,2007000077003,"010010207001",43,2,1,1,0,,
119535816,1582704,2007000077003,"010010207001",47,1,1,2,1,,500144850
119535823,1590819,2007000077003,"010010210001",43,2,1,1,0,,
119535833,1573485,2007000077003,"010010202001",43,2,1,1,0,,
119535841,1590671,2007000077003,"010010210001",43,2,1,1,0,,
119535845,1587603,2007000077003,"010010208024",43,2,1,1,0,,
119535854,1590013,2007000077003,"010010209004",47,1,1,2,1,,500144166
119535857,1580591,2007000077003,"010010205003",43,2,1,1,0,,
119535862,1573013,2007000077003,"010010201002",47,1,1,2,1,,500141480
119537177,1588923,2007000079119,"010010209001",36,2,1,2,1,,500138176
119537427,1577579,2007000079743,"010010205001",20,1,1,3,2,,500138279
119537429,1584488,2007000079743,"010010208012",48,2,1,2,1,,500143765
119537430,1584488,2007000079743,"010010208012",20,1,1,3,2,,500145830
119537431,1584488,2007000079743,"010010208012",51,1,1,1,0,,500135739
119537432,1574523,2007000079743,"010010203001",48,2,1,2,1,,500145836
119537433,1574523,2007000079743,"010010203001",20,1,1,3,2,,500144883
119537434,1574523,2007000079743,"010010203001",51,1,1,1,0,,500135269
119537453,1581909,2007000079743,"010010206001",48,2,1,2,1,,500144824
119537454,1581909,2007000079743,"010010206001",20,1,1,3,2,,500110186
119541220,1586789,2007000085227,"010010208022",47,2,1,2,1,,500110885
119541221,1586789,2007000085227,"010010208022",47,1,1,1,0,,500141490
119541224,1587632,2007000085227,"010010208024",47,2,1,2,1,,500111129
119541225,1587632,2007000085227,"010010208024",47,1,1,1,0,,500144120
119541240,1591473,2007000085227,"010010210002",47,2,1,2,1,,500144253
119541613,1591903,2007000085741,"010010211001",62,1,1,1,0,,500144120
119541614,1591903,2007000085741,"010010211001",41,2,1,2,1,,500109885
119541624,1579507,2007000085741,"010010205002",41,2,1,2,1,,500129281
119542059,1573769,2007000086653,"010010202002",23,1,2,1,0,,500141962
119542094,1579139,2007000086653,"010010205002",23,1,2,1,0,,500141490
119542104,1573505,2007000086653,"010010202001",23,1,2,1,0,,500109695
119542111,1573862,2007000086653,"010010202002",23,1,2,1,0,,500136071
119542483,1583776,2007000087414,"010010208011",41,2,2,1,0,,500139392
119542484,1583776,2007000087414,"010010208011",20,2,2,2,2,,500144623
119542490,1589805,2007000087414,"010010209003",10,1,2,4,2,450086996,
119542493,1589805,2007000087414,"010010209003",12,1,2,3,2,450086996,
119542496,1588562,2007000087414,"010010209001",20,2,2,2,2,,500139884
119542518,1588801,2007000087414,"010010209001",10,1,2,4,2,450086996,
119542558,1581769,2007000087414,"010010206001",10,1,2,4,2,450087284,
119542560,1581769,2007000087414,"010010206001",20,2,2,2,2,,500139858
119543235,1586980,2007000088992,"010010208023",38,1,1,1,0,,
119545886,1575989,2007000093385,"010010204002",61,2,1,1,0,,500139663
119545888,1580269,2007000093385,"010010205002",61,2,1,1,0,,500139392
119545890,1575908,2007000093385,"010010204002",61,2,1,1,0,,500139581
119545893,1585649,2007000093385,"010010208021",62,1,1,2,1,,500140097
119545894,1585649,2007000093385,"010010208021",61,2,1,1,0,,500569066
119545895,1591056,2007000093385,"010010210002",62,1,1,2,1,,500146861
119545897,1583805,2007000093385,"010010208011",62,1,1,2,1,,500138986
119545899,1585150,2007000093385,"010010208021",62,1,1,2,1,,500109802
119545900,1585150,2007000093385,"010010208021",61,2,1,1,0,,500136094
119545901,1591203,2007000093385,"010010210002",62,1,1,2,1,,500147098
119545903,1583000,2007000093385,"010010207001",62,1,1,2,1,,500110754
119545912,1586815,2007000093385,"010010208022",61,2,1,1,0,,500140989
119545921,1590561,2007000093385,"010010210001",62,1,1,2,1,,500145147
119545923,1588586,2007000093385,"010010209001",62,1,1,2,1,,500144082
119545924,1588586,2007000093385,"010010209001",61,2,1,1,0,,500139169
119546746,1576261,2007000095103,"010010204002",14,2,1,2,2,450087280,
119546747,1576261,2007000095103,"010010204002",43,2,1,1,0,,500133301
119546752,1574322,2007000095103,"010010203001",14,2,1,2,2,450087280,
119546753,1574322,2007000095103,"010010203001",43,2,1,1,0,,500145079
119547946,1577612,2007000096322,"010010205001",50,1,1,1,0,,
119547949,1582102,2007000096322,"010010206002",50,1,1,1,0,,
119547956,1590898,2007000096322,"010010210002",50,1,1,1,0,,
119550742,1577651,2007000100883,"010010205001",64,2,1,1,0,,
119550747,1583280,2007000100883,"010010207002",64,2,1,1,0,,
119550754,1592833,2007000100883,"010010211003",64,2,1,1,0,,
119550762,1588561,2007000100883,"010010209001",64,2,1,1,0,,
119555587,1580009,2007000108645,"010010205002",85,1,1,1,0,,
119555588,1580009,2007000108645,"010010205002",79,2,1,2,1,,
119555590,1584953,2007000108645,"010010208021",79,2,1,2,1,,
119555592,1574191,2007000108645,"010010203001",79,2,1,2,1,,
119555615,1575627,2007000108645,"010010204001",85,1,1,1,0,,
119555619,1585248,2007000108645,"010010208021",85,1,1,1,0,,
119555620,1585248,2007000108645,"010010208021",79,2,1,2,1,,
119555626,1583756,2007000108645,"010010208011",79,2,1,2,1,,
119555627,1577421,2007000108645,"010010205001",85,1,1,1,0,,
119556373,1578302,2007000109149,"010010205002",34,2,1,1,0,,500129649
119556374,1573726,2007000109149,"010010202002",34,2,1,1,0,,500144229
119556375,1589684,2007000109149,"010010209003",34,2,1,1,0,,500143798
119556379,1580236,2007000109149,"010010205002",34,2,1,1,0,,500138902
119556736,1588441,2007000110077,"010010208024",65,2,1,2,1,,
119556737,1581068,2007000110077,"010010205003",67,1,1,1,0,,500138670
119556755,1585580,2007000110077,"010010208021",67,1,1,1,0,,500145986
119557886,1588621,2007000110860,"010010209001",71,2,1,1,0,,500139992
119557887,1588068,2007000110860,"010010208024",71,2,1,1,0,,500109671
119557890,1584871,2007000110860,"010010208021",71,2,1,1,0,,500143051
119557893,1590127,2007000110860,"010010209004",71,2,1,1,0,,500143453
119557899,1588297,2007000110860,"010010208024",71,2,1,1,0,,500140583
119557903,1588094,2007000110860,"010010208024",71,2,1,1,0,,500139531
119559222,1582318,2007000112201,"010010206002",56,1,1,1,0,,
119559224,1590079,2007000112201,"010010209004",56,1,1,1,0,,
119559232,1590579,2007000112201,"010010210001",56,1,1,1,0,,
119559237,1586459,2007000112201,"010010208022",84,2,1,2,7,,
119559238,1586459,2007000112201,"010010208022",56,1,1,1,0,,
119564439,1591070,2007000118682,"010010210002",67,2,2,1,0,,
119564453,1578446,2007000118682,"010010205002",67,2,2,1,0,,
119564457,1581973,2007000118682,"010010206001",67,2,2,1,0,,
119564458,1581973,2007000118682,"010010206001",69,1,2,2,1,,
119565297,1579611,2007000120399,"010010205002",57,1,1,1,0,,500110523
119565299,1579611,2007000120399,"010010205002",54,2,1,2,1,,
119565301,1584397,2007000120399,"010010208012",13,2,1,3,2,450055504,
119565310,1583558,2007000120399,"010010207002",13,2,1,3,2,450065180,
119565311,1583558,2007000120399,"010010207002",54,2,1,2,1,,
119565327,1591172,2007000120399,"010010210002",57,1,1,1,0,,500147865
119565328,1591172,2007000120399,"010010210002",13,2,1,3,2,450062999,
119565330,1591554,2007000120399,"010010210002",57,1,1,1,0,,500146619
119565331,1591554,2007000120399,"010010210002",13,2,1,3,2,450062999,
